,user_names,comment_ratings,comment_dates,comment_contents
84,Archer,50,2020-06-29,"教育系统这条故事线真的太赞了。每个问题少年背后是家庭，家庭背后是社会结构，社会结构背后又是人类的发展史，终归是要所有人一起买单。想要适当解决这个问题，却又是个永恒的难题。只能回归当下，做好自己。
弱化男主角的设定也非常到位，这毕竟是现实题材，弱化主角就更接地气了。"
85,doublebetter,50,2020-06-29,各种情绪来得太快太多太复杂，看完之后脑子有点当机，消化中
86,寡欢,50,2020-06-26,最后一集McNulty和Bodie的对话，Colvin和Wee-Bey的对话，真的不要太经典。
87,岳独一,50,2020-06-26,非黑即白已经完全被我抛弃了 人是立体的 不是平面的 当你站在他的位置 难保不做出同样的选择 有时候你离幸运就差那么一点 这就是人生呀
88,Shawn,50,2020-06-25,第四季很好的展现了美国系统对底层黑人的压迫。
89,阿纳瑞斯的墙,50,2020-06-23,beyond电视剧。难以言述这到底是个什么怪物。
90,芒果欸芒果,0,2020-06-22,弯弯绕绕走了一大段路，最后两集讲完，结局却好像事先定好的。麻烦事也从来不会减少。这季最倒霉人物我选择Bub 
91,nothing,50,2020-06-19,神剧 全方位了解美国政治文化种族环境。牛逼。
92,TimDuncan_21,50,2020-06-18,最喜欢学校那条线，孩子们的演技真棒！
93,Guiro,50,2020-06-18,第四季结束 街角男孩更替到第三代
94,爆芋泥波波冰,50,2020-06-18,无言了，几个小孩主角的境遇令人心痛！！！！！！！！但一切仍是个无解的死循环。
95,Mia,50,2020-06-17,看完以后巴尔扎克都不香了
96,Liuology,50,2020-06-16,令人窒息的一季。跃跃欲试的新市长不断遇到难题，是不是在将来也会被磨平棱角？这个城市的未来，在大环境的影响下， 有的被霸凌， 有的走上了街角，有的成了冷酷的杀手。每个人都在努力，却还是无能为力
97,viennavirus,50,2020-06-14,以细致、审慎的注视，把题材拓展到选战和教育，也因此成为了最好的现实题材剧集之一。至于街头的故事，旧帝国被摧毁了，仅存的秩序也因此土崩瓦解，随之来到的却是混乱与更凶暴的恶。
98,种种,50,2020-06-13,S4破题:反毒品战争实质是反底层阶级的战争，“封闭社会”下才有个体“改变命运”的提法，而事实上并没有“改变命运”的可能。
99,果豆,50,2020-06-13,精彩!
